room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
18421394,1481,22832427,Shared room,,Aarhus,,11,0,0.0,15,1.0,,323.0,,"Gildesal midt i naturen, lige i udkanten af Aarhus",2017-07-28 02:07:09.311514,56.210688,10.15083,0101000020E6100000E882FA96394D24406FD40AD3F71A4C40
8395271,1481,4159382,Shared room,,Aarhus,,24,0,0.0,1,1.0,,73.0,,Apartment in Central Aarhus,2017-07-28 02:07:02.239283,56.162881,10.203689,0101000020E6100000221CB3EC49682440E411DC48D9144C40
16644379,1481,57644029,Shared room,,Aarhus,,24,0,0.0,2,1.0,,57.0,,Newly renovated apartment - perfect location,2017-07-28 02:07:01.275123,56.159489,10.199118,0101000020E6100000011764CBF26524402F89B3226A144C40
19158360,1481,133958912,Shared room,,Aarhus,,24,2,0.0,4,1.0,,48.0,,"Centralt beliggende, delevenlig lejlighed i Århus",2017-07-28 02:07:01.272701,56.155931,10.18277,0101000020E61000003D618907945D24405FB7088CF5134C40
20013202,1481,142077218,Shared room,,Aarhus,,6,0,0.0,2,1.0,,48.0,,Thyregodsvej,2017-07-28 02:07:01.269398,56.157677,10.153094,0101000020E61000007A6D3656624E24406B2A8BC22E144C40
6778463,1481,20693961,Shared room,,Aarhus,,3,0,0.0,5,1.0,,11.0,,Husly til Northside gæster,2017-07-28 02:07:00.135431,56.173203,10.182304,0101000020E610000027DC2BF3565D2440D84812842B164C40
8819543,1481,29014983,Shared room,,Aarhus,,24,59,5.0,1,1.0,,34.0,,"Cosy apartment, balcony, great view",2017-07-28 02:07:00.131787,56.164447,10.189526,0101000020E6100000C07B478D0961244071766B990C154C40
12799204,1481,29578114,Shared room,,Aarhus,,11,3,5.0,2,1.0,,33.0,,Sovesofa i moderne lejlighed,2017-07-28 02:07:00.128866,56.171913,10.136547,0101000020E6100000DCBB067DE9452440EE60C43E01164C40
2232899,1481,10964380,Shared room,,Aarhus,,11,0,0.0,6,1.0,,25.0,,Spacius but small penthouse,2017-07-28 02:07:00.121100,56.174245,10.135461,0101000020E610000054C4E9245B452440EA3E00A94D164C40
4623614,1481,19645205,Shared room,,Aarhus,,24,32,4.5,6,1.0,,36.0,,SimpleBed Hostel,2017-07-28 02:07:00.101003,56.157104,10.203791,0101000020E61000003370404B576824400F09DFFB1B144C40
9398947,1481,48746007,Shared room,,Aarhus,,24,0,0.0,2,1.0,,32.0,,.,2017-07-28 02:07:00.088069,56.145004,10.188038,0101000020E61000007DCF48844660244004E5B67D8F124C40
18350594,1481,94579236,Shared room,,Aarhus,,24,0,0.0,2,1.0,,31.0,,Central room next to Aros,2017-07-28 02:07:00.062129,56.15632,10.19563,0101000020E6100000A33B889D29642440F9DA334B02144C40
19603661,1481,137831709,Shared room,,Aarhus,,24,0,0.0,1,1.0,,32.0,,Lejlighed i toppen af gaderne.,2017-07-28 02:07:00.049310,56.159411,10.202581,0101000020E6100000FB9463B2B8672440B3CF639467144C40
19376765,1481,135808807,Shared room,,Aarhus,,24,0,0.0,3,1.0,,29.0,,Apartment Downtown Århus,2017-07-28 02:07:00.038688,56.158808,10.201839,0101000020E61000005C1D007157672440ED2B0FD253144C40
16091993,1481,79205128,Shared room,,Aarhus,,24,15,5.0,1,1.0,,20.0,,Loft Bed in the heart of Aarhus,2017-07-28 02:07:00.019220,56.159979,10.20496,0101000020E6100000F0F96184F0682440FD851E317A144C40
13087251,1481,7206289,Entire home/apt,,Aarhus,,6,0,0.0,6,4.0,,186.0,,a lovely family home in Aarhus,2017-07-28 02:03:37.435817,56.150205,10.156325,0101000020E61000002B1895D4095024400C59DDEA39134C40
8345432,1481,30406585,Entire home/apt,,Aarhus,,10,0,0.0,7,4.0,,404.0,,Hus med udsigt og tæt på Aarhus.,2017-07-28 02:02:51.948979,56.161963,10.123037,0101000020E61000005A65A6B4FE3E2440BE141E34BB144C40
3750969,1481,19192709,Entire home/apt,,Aarhus,,24,7,5.0,4,1.0,,177.0,,Spaciuos flat in central Aarhus,2017-07-28 02:02:40.288697,56.155442,10.198345,0101000020E610000076A6D0798D65244061360186E5134C40
7523479,1481,39424697,Entire home/apt,,Aarhus,,24,16,5.0,6,2.0,,218.0,,Penthouse on 9th floor in center,2017-07-28 02:00:58.669024,56.152383,10.188359,0101000020E610000085D0419770602440B2BB404981134C40
1229958,1481,6709280,Entire home/apt,,Aarhus,,24,0,0.0,3,2.0,,252.0,,Upstairs Pearl with Two Floors,2017-07-28 02:00:58.664069,56.165037,10.216253,0101000020E6100000E35295B6B86E2440A2D0B2EE1F154C40
8304624,1481,3625006,Entire home/apt,,Aarhus,,24,3,5.0,5,1.0,,185.0,,Skøn lejlighed - ved Botanisk have,2017-07-28 02:00:52.241031,56.157137,10.184863,0101000020E61000001C7BF65CA65E2440EBFEB1101D144C40
14753551,1481,69791951,Entire home/apt,,Aarhus,,24,1,0.0,4,1.0,,160.0,,Dejlig rumlig penthouse lejlighed,2017-07-28 02:00:49.030056,56.156814,10.191434,0101000020E610000057AF22A30362244008C72C7B12144C40
1066076,1481,5864688,Entire home/apt,,Aarhus,,24,9,5.0,4,1.0,,113.0,,Modern apartment in Aarhus C,2017-07-28 02:00:16.258209,56.163452,10.20245,0101000020E61000008126C286A76724409F3BC1FEEB144C40
3463139,1481,17449441,Entire home/apt,,Aarhus,,24,0,0.0,3,1.0,,105.0,,"Lys, lækker og tæt på alt.",2017-07-28 02:00:16.253333,56.156973,10.197353,0101000020E6100000F488D1730B65244071ADF6B017144C40
13517684,1481,34904643,Entire home/apt,,Aarhus,,24,3,5.0,4,3.0,,88.0,,Large modern apartment near the beach,2017-07-28 01:59:54.920726,56.162477,10.21485,0101000020E61000005917B7D1006E244015ADDC0BCC144C40
13014552,1481,59305735,Entire home/apt,,Aarhus,,24,2,0.0,3,1.0,,92.0,,Lovely city apartment by the river,2017-07-28 01:59:54.916403,56.154266,10.207901,0101000020E6100000849CF7FF716A24403F7100FDBE134C40
11330167,1481,28404211,Entire home/apt,,Aarhus,,24,8,4.0,3,1.0,,96.0,,Your danish home-away-from-home :),2017-07-28 01:59:54.914275,56.14933,10.192827,0101000020E610000053927538BA622440E527D53E1D134C40
1229943,1481,6709280,Entire home/apt,,Aarhus,,24,0,0.0,5,3.0,,229.0,,Spreckelsen Large Apartment,2017-07-28 01:57:00.371910,56.146958,10.197887,0101000020E61000006B9BE271516524405AF10D85CF124C40
4701932,1481,24294375,Entire home/apt,,Aarhus,,24,0,0.0,9,3.0,,290.0,,Central og Charmerende,2017-07-28 01:56:59.013162,56.152795,10.206895,0101000020E61000006E693524EE69244004FF5BC98E134C40
16313246,1481,9737725,Entire home/apt,,Aarhus,,24,2,0.0,6,3.0,,242.0,,Newly renovated house in the center of Aarhus,2017-07-28 01:56:55.357984,56.167488,10.195218,0101000020E61000005A2E1B9DF3632440793C2D3F70154C40
12034462,1481,64413809,Entire home/apt,,Aarhus,,5,5,5.0,6,4.0,,242.0,,Risskov bolig lige v. dejlig strand,2017-07-28 01:56:55.350761,56.192239,10.24559,0101000020E61000000473F4F8BD7D244004029D499B184C40
